종목코드,종목명,종가,대비,등락률,상장시가총액
3120,일성아이에스,25200,1550,6.55,335160
3160,디아이,12640,-300,-2.32,357712
3200,일신방직,9820,-180,-1.8,225467
3220,대원제약,13000,-100,-0.76,291559
3350,한국화장품제조,58500,1000,1.74,265122
3460,유화증권,2700,-25,-0.92,153097
3480,한진중공업홀딩스,4925,65,1.34,145434
3520,영진약품,1995,-15,-0.75,364871
3610,방림,4600,-25,-0.54,184930
3650,미창석유,109200,-200,-0.18,189972
3720,삼영,5160,60,1.18,175440
3830,대한화섬,116800,-800,-0.68,155110
3920,남양유업,56100,-700,-1.23,336600
36580,팜스코,2720,-60,-2.16,99900
41650,상신브레이크,2840,-35,-1.22,60979
44380,주연테크,514,12,2.39,34132
47400,유니온머티리얼,1419,-64,-4.32,59598
49800,우진플라임,2230,65,3,44600
51630,진양화학,1971,-13,-0.66,41785
55490,테이팩스,14800,-40,-0.27,70591
58730,다스코,2885,-90,-3.03,54229
58850,KTcs,2845,20,0.71,121439
58860,KTis,2920,20,0.69,101622
63160,종근당바이오,22550,-350,-1.53,123708
67830,세이브존I&C,2635,0,0,108143
69640,한세엠케이,839,-25,-2.89,37593
69730,DSR제강,3805,-135,-3.43,54792
71090,하이스틸,4405,-180,-3.93,88943
71950,코아스,7420,-1150,-13.42,24417
72130,유엔젤,5420,-50,-0.91,69893
74610,이엔플러스,511,0,0,37494
75180,새론오토모티브,3150,10,0.32,60480
77500,유니퀘스트,5760,-140,-2.37,124417
79980,휴비스,3000,-90,-2.91,103500
84670,동양고속,8170,-100,-1.21,23657
84870,TBH글로벌,1496,4,0.27,31202
85310,엔케이,1327,-42,-3.07,104674
88790,진도,1882,-22,-1.16,23427
90080,평화산업,1006,2,0.2,55232
90370,메타랩스,1285,-13,-1,32003
91090,세원이앤씨,1270,0,0,66998
92440,기신정기,2450,-10,-0.41,71540
92780,DYP,4005,-115,-2.79,52740
93240,형지엘리트,1675,-57,-3.29,64304
100220,비상교육,5230,-100,-1.88,67973
101140,인바이오젠,12380,190,1.56,124347
102280,쌍방울,2690,0,0,70637
109070,주성코퍼레이션,851,-28,-3.19,44942
111110,호전실업,6900,-80,-1.15,64694
111380,동인기연,13510,-170,-1.24,82789
118000,메타케어,315,-3,-0.94,54110
119650,KC코트렐,918,0,0,100783
123700,SJM,3565,175,5.16,55631
129260,인터지스,2655,-45,-1.67,78981
133820,화인베스틸,2060,15,0.73,63502
134790,시디즈,25750,-600,-2.28,51500
143210,핸즈코퍼레이션,1642,14,0.86,35920
145210,다이나믹디자인,758,-22,-2.82,27525
155660,DSR,3700,-85,-2.25,59200
163560,동일고무벨트,6880,-100,-1.43,95632
214330,금호에이치티,570,-12,-2.06,124233
214390,경보제약,4860,-10,-0.21,116187
227840,현대코퍼레이션홀딩스,12070,-160,-1.31,109847
248170,샘표식품,25900,-50,-0.19,118319
264900,크라운제과,9310,-90,-0.96,116597
267290,경동도시가스,20000,90,0.45,117908
308170,씨티알모빌리티,5010,-120,-2.34,43136
372910,한컴라이프케어,2685,-35,-1.29,74306
378850,화승알앤에이,2985,-30,-1,56696
446070,유니드비티플러스,3885,-35,-0.89,41225
465770,STX그린로지스,7530,230,3.15,53998
480370,씨케이솔루션,9580,-220,-2.24,104756
11300,성안머티리얼스,377,-20,-5.04,58668
11390,부산산업,85700,-2500,-2.83,90499
11420,갤럭시아에스엠,2265,0,0,62400
11690,와이투솔루션,3025,-10,-0.33,110638
11700,한신기계,3470,-75,-2.12,112588
11810,STX,3530,0,0,109493
12160,영흥,612,7,1.16,62002
12170,아센디오,2090,-105,-4.78,22726
12200,계양전기,1434,-14,-0.97,39038
12280,영화금속,909,-6,-0.66,46963
12690,모나리자,2455,-15,-0.61,89782
12800,대창,1290,-9,-0.69,117571
13000,세우글로벌,1056,-18,-1.68,30313
13360,일성건설,1415,2,0.14,76445
13520,화승코퍼레이션,1920,0,0,96098
13570,디와이,4230,15,0.36,111332
13700,까뮤이앤씨,1158,-2,-0.17,69191
13870,지엠비코리아,4055,-45,-1.1,77338
14130,한익스프레스,3260,-50,-1.51,39120
14160,대영포장,1149,6,0.52,124545
14280,금강공업,4230,-75,-1.74,124063
14440,영보화학,4245,-45,-1.05,84900
14530,극동유화,3325,-20,-0.6,115941
14790,HL D&I,2465,15,0.61,93321
14910,성문전자,1186,-14,-1.17,26639
14990,인디에프,1142,-60,-4.99,85779
15020,이스타코,615,-3,-0.49,26354
15260,에이엔피,484,-10,-2.02,21837
15590,DKME,515,0,0,122045
16090,대현,1800,0,0,79708
16740,두올,3310,-115,-3.36,103619
17040,광명전기,1106,-13,-1.16,47931
17180,명문제약,1710,-12,-0.7,58060
17370,우신시스템,6850,-240,-3.39,125451
17550,수산세보틱스,1850,-27,-1.44,115438
17900,광전자,1850,-25,-1.33,107196
18500,동원금속,1402,-29,-2.03,65550
19180,티에이치엔,5170,275,5.62,93060
19490,엑시큐어하이트론,689,0,0,52662
20760,일진디스플,900,-21,-2.28,46362
21050,서원,1191,25,2.14,56542
21820,세원정공,9910,-190,-1.88,99100
23000,삼원강재,2475,-5,-0.2,99000
23150,MH에탄올,5260,-40,-0.75,38811
23350,한국종합기술,4890,-90,-1.81,53546
23450,동남합성,31475,25,0.08,110163
23800,인지컨트롤스,5430,-160,-2.86,85844
23810,인팩,6800,-90,-1.31,68000
23960,에쓰씨엔지니어링,1184,-31,-2.55,45035
24070,WISCOM,2030,-15,-0.73,31113
24890,대원화성,864,-15,-1.71,35639
24900,디와이덕양,2325,-15,-0.64,75714
25530,SJM홀딩스,3540,40,1.14,52866
25560,미래산업,10340,-20,-0.19,46351
25620,제이준코스메틱,7680,750,10.82,61676
25750,한솔홈데코,688,-10,-1.43,55429
25890,한국주강,1811,-9,-0.49,20481
26940,부국철강,2320,10,0.43,46400
27740,마니커,820,-13,-1.56,52079
30720,동원수산,6080,40,0.66,28295
31820,아이티센씨티에스,601,-10,-1.64,72752
32560,황금에스티,5600,-80,-1.41,95200
33250,체시스,1091,-10,-0.91,34912
34590,인천도시가스,26000,100,0.39,113744
4410,서울식품,153,-1,-0.65,57338
4440,삼일씨엔에스,4860,-45,-0.92,61877
4450,삼화왕관,34850,-400,-1.13,75080
4540,깨끗한나라,2095,60,2.95,78019
4720,팜젠사이언스,4300,-110,-2.49,80808
4770,써니전자,1601,-12,-0.74,58761
4830,덕성,5770,380,7.05,90474
4840,DRB동일,4975,-25,-0.5,99152
4870,티웨이홀딩스,553,-18,-3.15,62579
4890,동일산업,40150,50,0.12,97372
4910,조광페인트,5480,-120,-2.14,70144
4920,씨아이테크,1154,-2,-0.17,57776
4960,한신공영,7800,-240,-2.99,90251
5030,부산주공,486,0,0,38289
5110,한창,1254,0,0,26467
5320,온타이드,529,-12,-2.22,36171
5360,모나미,2335,145,6.62,44125
5740,크라운해태홀딩스,7170,-200,-2.71,106455
5750,대림바스,4465,-40,-0.89,74442
5820,원림,14430,-170,-1.16,33160
5870,휴니드,8160,-20,-0.24,115187
6090,사조오양,10050,80,0.8,94699
6200,한국전자홀딩스,705,-2,-0.28,32996
6370,대구백화점,6590,60,0.92,71314
6490,인스코비,824,-12,-1.44,102589
6570,대림통상,2805,-70,-2.43,42706
6660,삼성공조,12620,-370,-2.85,102554
6740,영풍제지,996,0,0,55684
6880,신송홀딩스,6740,-90,-1.32,79727
6890,태경케미컬,9470,-190,-1.97,109852
6980,우성,16650,-150,-0.89,51449
7120,미래아이앤지,963,-38,-3.8,27810
7280,한국특강,1556,-54,-3.35,94626
7590,동방아그로,6230,-30,-0.48,84838
7610,선도전기,3000,0,0,54000
7980,TP,1737,-85,-4.67,88891
8250,이건산업,4905,-30,-0.61,53723
8260,NI스틸,3485,-60,-1.69,99671
8420,문배철강,2165,-40,-1.81,44390
8500,일정실업,11440,0,0,13728
8600,윌비스,362,-2,-0.55,24339
8700,아남전자,1318,-27,-2.01,101651
8870,금비,55300,200,0.36,55300
9140,경인전자,20850,100,0.48,32751
9180,한솔로지스틱스,2710,-75,-2.69,76302
9190,대양금속,1613,73,4.74,69670
9200,무림페이퍼,2015,-25,-1.23,83843
9310,참엔지니어링,1272,-32,-2.45,21590
9320,아진전자부품,1065,11,1.04,52504
9440,KC그린홀딩스,756,0,0,17569
9460,한창제지,642,-2,-0.31,38307
9770,삼정펄프,26550,-100,-0.38,66374
9810,플레이그램,339,-3,-0.88,51490
10040,한국내화,2200,-40,-1.79,90348
10400,우진아이엔에스,2910,-60,-2.02,22180
10420,한솔PNS,1880,0,0,38527
10600,웰바이오텍,545,0,0,49553
10640,진양폴리,3985,10,0.25,39850
10660,화천기계,4255,280,7.04,93610
10770,평화홀딩스,4115,-45,-1.08,60184
10960,삼호개발,3380,-20,-0.59,84500
11090,에넥스,578,-23,-3.83,34675
11150,CJ씨푸드,2890,15,0.52,103840
11230,삼화전자,3760,-85,-2.21,63554
140910,에이리츠,3130,0,0,13969
145270,케이탑리츠,962,0,0,46234
204210,스타에스엠리츠,2035,0,0,15928
338100,NH프라임리츠,4520,-30,-0.66,84343
357250,미래에셋맵스리츠,2605,-15,-0.57,65112
357430,마스턴프리미어리츠,1523,-1,-0.07,46460
396690,미래에셋글로벌리츠,2700,-20,-0.74,106936
481850,신한글로벌액티브리츠,1407,-11,-0.78,61173
40,KR모터스,548,-6,-1.08,32953
180,성창기업지주,1705,-15,-0.87,118926
220,유유제약,4230,-125,-2.87,72047
230,일동홀딩스,9010,-210,-2.28,103979
590,CS홀딩스,82400,-1000,-1.2,95129
650,천일고속,41500,0,0,59313
760,이화산업,12360,510,4.3,34608
850,화천기공,30000,-250,-0.83,66000
890,보해양조,447,-6,-1.32,62187
910,유니온,4495,-85,-1.86,70174
950,전방,32150,-600,-1.83,54012
1070,대한방직,6430,-70,-1.08,34079
1080,만호제강,28000,250,0.9,116200
1140,국보,2110,0,0,33457
1210,금호전기,997,-73,-6.82,61369
1260,남광토건,8950,-210,-2.29,88002
1290,상상인증권,675,-7,-1.03,73128
1380,SG글로벌,1615,-13,-0.8,72617
1420,태원물산,3510,-50,-1.4,26676
1470,삼부토건,347,0,0,79700
1550,조비,12560,-320,-2.48,65215
1560,제일연마,10500,100,0.96,102900
1620,케이비아이동국실업,489,3,0.62,54422
1770,SHD,17160,50,0.29,20847
2070,비비안,755,24,3.28,34123
2140,고려산업,2660,-40,-1.48,66339
2200,한국수출포장,2870,-25,-0.86,114800
2210,동성제약,973,0,0,25901
2220,한일철강,2880,45,1.59,76889
2360,SH에너지화학,436,-2,-0.46,48454
2410,범양건영,1935,0,0,53173
2420,세기상사,5150,-30,-0.58,30745
2450,삼익악기,1254,-6,-0.48,113526
2460,HS화성,10180,-40,-0.39,103327
2600,조흥,151700,0,0,91020
2630,오리엔트바이오,589,-2,-0.34,69845
2690,동일제강,1605,5,0.31,32582
2700,신일전자,1319,-23,-1.71,93712
2720,국제약품,4650,-50,-1.06,98393
2760,보락,1029,-2,-0.19,61637
2780,진흥기업,713,-5,-0.7,103721
2820,SUN&L,2780,20,0.72,35050
2870,신풍,1059,-21,-1.94,37021
2880,대유에이텍,1148,-5,-0.43,53662
2920,유성기업,2085,-20,-0.95,54101
3010,혜인,5270,-60,-1.13,66996
3060,에이프로젠바이오로직스,608,-4,-0.65,120632
3080,SB성보,2790,15,0.54,55856
3560,IHQ,10760,0,0,76221
3580,HLB글로벌,2260,125,5.85,113715
3680,한성기업,5580,180,3.33,34649
3780,진양산업,6120,-20,-0.33,79560
4060,SG세계물산,317,-2,-0.63,64169
4100,태양금속,2080,-70,-3.26,76336
4270,남성,1021,-11,-1.07,36973
4310,현대약품,3825,-80,-2.05,122400
